NAME                                    VERSION                                             TYPE                     
json-c                                  0.14-11.el9                                         rpm                      
json-glib                               1.6.6-1.el9                                         rpm                      
json-parse-even-better-errors           3.0.2                                               npm                      
json-stringify-nice                     1.1.4                                               npm                      
jsonparse                               1.3.1                                               npm                      
just-diff                               6.0.2                                               npm                      
just-diff-apply                         5.5.0                                               npm                      
kernel-headers                          5.14.0-570.52.1.el9_6                               rpm                      
kernel-srpm-macros                      1.0-13.el9                                          rpm                      
keyutils                                1.6.3-1.el9                                         rpm                      
keyutils-libs                           1.6.3-1.el9                                         rpm                      
keyutils-libs-devel                     1.6.3-1.el9                                         rpm                      
kmod-libs                               28-10.el9                                           rpm                      
krb5-devel                              1.21.1-8.el9_6                                      rpm                      
krb5-libs                               1.21.1-8.el9_6                                      rpm                      
langpacks-core-en                       3.0-16.el9                                          rpm                      
langpacks-core-font-en                  3.0-16.el9                                          rpm                      
langpacks-en                            3.0-16.el9                                          rpm                      
less                                    590-5.el9                                           rpm                      
libICE                                  1.0.10-8.el9                                        rpm                      
libSM                                   1.2.3-10.el9                                        rpm                      
libX11                                  1.7.0-11.el9                                        rpm                      
libX11-common                           1.7.0-11.el9                                        rpm                      
libX11-devel                            1.7.0-11.el9                                        rpm                      
libX11-xcb                              1.7.0-11.el9                                        rpm                      
libXau                                  1.0.9-8.el9                                         rpm                      
libXau-devel                            1.0.9-8.el9                                         rpm                      
libXext                                 1.3.4-8.el9                                         rpm                      
libXpm                                  3.5.13-10.el9                                       rpm                      
libXpm-devel                            3.5.13-10.el9                                       rpm                      
libXrender                              0.9.10-16.el9                                       rpm                      
libXt                                   1.2.0-6.el9                                         rpm                      
libacl                                  2.3.1-4.el9                                         rpm                      
libarchive                              3.5.3-6.el9_6                                       rpm                      
libassuan                               2.5.5-3.el9                                         rpm                      
libattr                                 2.5.1-3.el9                                         rpm                      
libbabeltrace                           1.5.8-10.el9                                        rpm                      
libblkid                                2.37.4-21.el9                                       rpm                      
libblkid-devel                          2.37.4-21.el9                                       rpm                      
libbpf                                  2:1.5.0-1.el9                                       rpm                      
libbrotli                               1.0.9-7.el9_5                                       rpm                      
libcap                                  2.48-9.el9_2                                        rpm                      
libcap-ng                               0.8.2-7.el9                                         rpm                      
libcbor                                 0.7.0-5.el9                                         rpm                      
libcom_err                              1.46.5-7.el9                                        rpm                      
libcom_err-devel                        1.46.5-7.el9                                        rpm                      
libcomps                                0.1.18                                              python                   
libcomps                                0.1.18-1.el9                                        rpm                      
libcurl-devel                           7.76.1-31.el9_6.1                                   rpm                      
libcurl-minimal                         7.76.1-31.el9_6.1                                   rpm                      
libdb                                   5.3.28-57.el9_6                                     rpm                      
libdb-devel                             5.3.28-57.el9_6                                     rpm                      
libdnf                                  0.69.0-13.el9                                       rpm                      
libdnf-plugin-subscription-manager      1.29.45.1-1.el9_6                                   rpm                      
libeconf                                0.4.1-4.el9                                         rpm                      
libedit                                 3.1-38.20210216cvs.el9                              rpm                      
libevent                                2.1.12-8.el9_4                                      rpm                      
libfdisk                                2.37.4-21.el9                                       rpm                      
libffi                                  3.4.2-8.el9                                         rpm                      
libffi-devel                            3.4.2-8.el9                                         rpm                      
libfido2                                1.13.0-2.el9                                        rpm                      
libgcc                                  11.5.0-5.el9_5                                      rpm                      
libgcrypt                               1.10.0-11.el9                                       rpm                      
libgfortran                             11.5.0-5.el9_5                                      rpm                      
libgomp                                 11.5.0-5.el9_5                                      rpm                      
libgpg-error                            1.42-5.el9                                          rpm                      
libgpg-error-devel                      1.42-5.el9                                          rpm                      
libicu                                  67.1-10.el9_6                                       rpm                      
libicu-devel                            67.1-10.el9_6                                       rpm                      
libidn2                                 2.3.0-7.el9                                         rpm                      
libipt                                  2.0.4-5.el9                                         rpm                      
libjpeg-turbo                           2.0.90-7.el9                                        rpm                      
libjpeg-turbo-devel                     2.0.90-7.el9                                        rpm                      
libkadm5                                1.21.1-8.el9_6                                      rpm                      
libksba                                 1.5.1-7.el9                                         rpm                      
libmnl                                  1.0.4-16.el9_4                                      rpm                      
libmodulemd                             2.13.0-2.el9                                        rpm                      
libmount                                2.37.4-21.el9                                       rpm                      
libmount-devel                          2.37.4-21.el9                                       rpm                      
libmpc                                  1.2.1-4.el9                                         rpm                      
libnghttp2                              1.43.0-6.el9                                        rpm                      
libnpmaccess                            8.0.6                                               npm                      
libnpmdiff                              6.1.4                                               npm                      
libnpmexec                              8.1.3                                               npm                      
libnpmfund                              5.0.12                                              npm                      
libnpmhook                              10.0.5                                              npm                      
libnpmorg                               6.0.6                                               npm                      
libnpmpack                              7.0.4                                               npm                      
libnpmpublish                           9.0.9                                               npm                      
libnpmsearch                            7.0.6                                               npm                      
libnpmteam                              6.0.5                                               npm                      
libnpmversion                           6.0.3                                               npm                      
libpath_utils                           0.2.1-53.el9                                        rpm                      
libpipeline                             1.5.3-4.el9                                         rpm                      
libpkgconf                              1.7.3-10.el9                                        rpm                      
libpng                                  2:1.6.37-12.el9                                     rpm                      
libpng-devel                            2:1.6.37-12.el9                                     rpm                      
libpq                                   13.20-1.el9_5                                       rpm                      
libpq-devel                             13.20-1.el9_5                                       rpm                      
libpsl                                  0.21.1-5.el9                                        rpm                      
libpwquality                            1.4.4-8.el9                                         rpm                      
libquadmath                             11.5.0-5.el9_5                                      rpm                      
libquadmath-devel                       11.5.0-5.el9_5                                      rpm                      
librepo                                 1.14.5-2.el9                                        rpm                      
libreport-filesystem                    2.15.2-6.el9                                        rpm                      
librhsm                                 0.0.3-9.el9                                         rpm                      
libseccomp                              2.5.2-2.el9                                         rpm                      
libselinux                              3.6-3.el9                                           rpm                      
libselinux-devel                        3.6-3.el9                                           rpm                      
libsemanage                             3.6-5.el9_6                                         rpm                      
libsepol                                3.6-2.el9                                           rpm                      
libsepol-devel                          3.6-2.el9                                           rpm                      
